FVL,FVI,FVR,AVL,AVR,RVL,RVI,RVR,directory
1904,2357,748,128,269,1490,542,2292,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_001.xlsx
2169,1706,1471,445,314,2261,479,1890,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_002.xlsx
1789,1642,1474,246,51,1833,1642,2141,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_003.xlsx
2053,2004,2406,419,139,1683,831,1559,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_004.xlsx
2409,2339,2406,46,19,1525,12,884,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_005.xlsx
1537,2280,1361,172,137,1314,1593,2297,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_006.xlsx
1750,1090,1588,247,74,1983,665,1275,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_007.xlsx
1422,1950,1901,225,43,2263,875,1371,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_008.xlsx
1892,1679,1252,280,57,1875,221,1152,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_009.xlsx
1139,1422,1757,970,227,441,1056,986,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_010.xlsx
1628,2016,1666,452,120,1439,2370,1613,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_011.xlsx
1026,833,2053,433,140,1553,68,1823,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_012.xlsx
542,2293,1773,10,1057,397,672,2227,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_013.xlsx
1907,569,2048,170,120,1572,958,2110,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_015.xlsx
1628,2177,2044,96,53,1898,75,1853,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_017.xlsx
1959,2013,1749,172,138,1200,1122,1803,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_018.xlsx
1740,1898,1529,159,266,1785,2109,1482,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_019.xlsx
1848,2192,1645,83,291,660,1842,1634,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_021.xlsx
1519,581,1491,251,112,933,199,1161,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_022.xlsx
2277,2409,0,67,0,306,460,407,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_023.xlsx
2186,2287,61,40,0,228,2211,1785,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_024.xlsx
2119,2353,724,30,0,1099,186,1171,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_025.xlsx
2277,2400,82,8,0,0,417,86,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_026.xlsx
